id	source_file	target_entity	disposition	provenance
40x53mm_m430a1	data/json/ascii_art/ammo/40x53mm.json	itype:id=40x53mm_m430a1	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
410shot_000	data/json/ascii_art/ammo/410shot.json	itype:id=410shot_000	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
44army	data/json/ascii_art/ammo/44paper.json	itype:id=44army	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
44fmj	data/json/ascii_art/ammo/44.json	itype:id=44fmj	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
44magnum	data/json/ascii_art/ammo/44.json	itype:id=44magnum	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
454_Casull	data/json/ascii_art/ammo/454.json	itype:id=454_Casull	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
4570_pen	data/json/ascii_art/ammo/4570.json	itype:id=4570_pen	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
4570_sp	data/json/ascii_art/ammo/4570.json	itype:id=4570_sp	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
458wm	data/json/ascii_art/ammo/458wm.json	none	skipped-missing-target-entity	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
45_jhp	data/json/ascii_art/ammo/45.json	itype:id=45_acp	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
45colt_jhp	data/json/ascii_art/ammo/45colt.json	itype:id=45colt_jhp	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
460_rowland	data/json/ascii_art/ammo/460.json	itype:id=460_rowland	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
46mm	data/json/ascii_art/ammo/46.json	itype:id=46mm	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
500_Magnum	data/json/ascii_art/ammo/500.json	itype:id=500_Magnum	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
50_incendiary	data/json/ascii_art/ammo/50.json	itype:id=50_incendiary	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
50_mk211	data/json/ascii_art/ammo/50.json	itype:id=50_mk211	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
50bmg	data/json/ascii_art/ammo/50.json	itype:id=50bmg	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
50match	data/json/ascii_art/ammo/50.json	itype:id=50match	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
50ss	data/json/ascii_art/ammo/50.json	itype:id=50ss	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
545	data/json/ascii_art/ammo/545x39.json	itype:id=545	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
545_ap	data/json/ascii_art/ammo/545x39.json	itype:id=545_ap	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
556	data/json/ascii_art/ammo/223.json	itype:id=556	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
556_incendiary	data/json/ascii_art/ammo/223.json	itype:id=556_incendiary	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
556_m855a1	data/json/ascii_art/ammo/223.json	itype:id=556_m855a1	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
556_m995	data/json/ascii_art/ammo/223.json	none	skipped-missing-target-entity	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
57mm	data/json/ascii_art/ammo/57.json	itype:id=57mm	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
57mm_ss	data/json/ascii_art/ammo/57.json	itype:id=57mm_ss	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
66mm_HEAT	data/json/ascii_art/ammo/66mm.json	itype:id=66mm_HEAT	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
762_25	data/json/ascii_art/ammo/762x25.json	itype:id=762_25	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
762_51_incendiary	data/json/ascii_art/ammo/308.json	itype:id=762_51_incendiary	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
762_51_m993	data/json/ascii_art/ammo/308.json	none	skipped-missing-target-entity	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
762_54R	data/json/ascii_art/ammo/762R.json	itype:id=762_54R	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
762_jhp	data/json/ascii_art/ammo/762.json	none	skipped-missing-target-entity	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
762_m87	data/json/ascii_art/ammo/762.json	itype:id=762_m87	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
84x246mm_he	data/json/ascii_art/ammo/84x246.json	itype:id=84x246mm_he	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
84x246mm_hedp	data/json/ascii_art/ammo/84x246.json	itype:id=84x246mm_hedp	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
84x246mm_smoke	data/json/ascii_art/ammo/84x246.json	itype:id=84x246mm_smoke	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
8mm_caseless	data/json/ascii_art/ammo/8x40mm.json	itype:id=8mm_caseless	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
9mm	data/json/ascii_art/ammo/9mm.json	itype:id=9mm	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
9x18mm	data/json/ascii_art/ammo/9x18.json	itype:id=9x18mm	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
atgm_heat	data/json/ascii_art/ammo/atgm.json	itype:id=atgm_heat	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
battery_car	data/json/ascii_art/vehicle/battery.json	itype:id=battery_car	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
battery_motorbike	data/json/ascii_art/vehicle/battery.json	itype:id=battery_motorbike	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
battery_motorbike_small	data/json/ascii_art/vehicle/battery.json	itype:id=battery_motorbike_small	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
brazing_rod_alloy	data/json/ascii_art/ammo/weldgas.json	itype:id=brazing_rod_alloy	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
brazing_rod_bronze	data/json/ascii_art/ammo/weldgas.json	itype:id=brazing_rod_bronze	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
cannon_shot	data/json/ascii_art/ammo/cannon.json	itype:id=cannon_shot	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
cashcard	data/json/ascii_art/generic_ascii.json	itype:id=cash_card	skipped-existing-art-id	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2;official-0.G-art-retained
combatnail	data/json/ascii_art/ammo/nail.json	itype:id=combatnail	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
flintlock_ammo	data/json/ascii_art/ammo/flintlock.json	itype:id=flintlock_ammo	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
flintlock_ammo	data/json/ascii_art/ammo/flintlock.json	itype:id=flintlock_shot	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
heavy_atomic_battery_cell	data/json/ascii_art/battery.json	itype:id=heavy_atomic_battery_cell	skipped-existing-binding=heavy_battery_plut	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
heavy_battery_cell	data/json/ascii_art/battery.json	itype:id=heavy_battery_cell	skipped-existing-binding=heavy_battery	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
heavy_disposable_cell	data/json/ascii_art/battery.json	itype:id=heavy_disposable_cell	skipped-existing-binding=heavy_battery	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
heavy_dry_cell	data/json/ascii_art/battery.json	itype:id=heavy_dry_cell	skipped-existing-binding=heavy_battery	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
heavy_plus_battery_cell	data/json/ascii_art/battery.json	itype:id=heavy_plus_battery_cell	skipped-existing-binding=heavy_battery	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
it_battery_mount	data/json/ascii_art/vehicle/battery.json	itype:id=it_battery_mount	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
large_storage_battery	data/json/ascii_art/vehicle/battery.json	itype:id=large_storage_battery	imported-and-bound	upstream-cdda/0.H-branch@6dae8435e804bc11dd85baa21954ba6297e7841f;official-0.G@d6ec466140839dd70c1a43671eb4a08b007695c2
